month,month_num,year,bulletin_title,india_1st,india_2nd,india_3rd,india_1st_filing,india_2nd_filing,india_3rd_filing
October,10,2015,Visa Bulletin For October 2015,,,,,,
November,11,2015,Visa Bulletin For November 2015,,,,,,
December,12,2015,Visa Bulletin For December 2015,,,,,,
January,1,2016,Visa Bulletin For January 2016,,,,,,
February,2,2016,Visa Bulletin For February 2016,,,,,,
March,3,2016,Visa Bulletin For March 2016,,,,,,
April,4,2016,Visa Bulletin For April 2016,,,,,,
May,5,2016,Visa Bulletin For May 2016,C,22NOV08,01SEP04,C,01JUL09,01JUL05
June,6,2016,Visa Bulletin For June 2016,C,01OCT04,22SEP04,C,01JUL09,01JUL05
July,7,2016,Visa Bulletin For July 2016,C,01NOV04,22OCT04,C,01JUL09,01JUL05
August,8,2016,Visa Bulletin For August 2016,01JAN10,15NOV04,08NOV04,C,01JUL09,01JUL05
September,9,2016,Visa Bulletin For September 2016,01JAN10,22FEB05,15FEB05,C,01JUL09,01JUL05
October,10,2016,Visa Bulletin For October 2016,C,15JAN07,01MAR05,C,22APR09,01JUL05
November,11,2016,Visa Bulletin For November 2016,C,01NOV07,08MAR05,C,22APR09,01JUL05
December,12,2016,Visa Bulletin For December 2016,C,01FEB08,15MAR05,C,22APR09,01JUL05
January,1,2017,Visa Bulletin For January 2017,C,15APR08,15MAR05,C,22APR09,01JUL05
February,2,2017,Visa Bulletin For February 2017,C,15APR08,22MAR05,C,22APR09,01JUL05
March,3,2017,Visa Bulletin For March 2017,C,01JUN08,22MAR05,C,22APR09,01JUL05
April,4,2017,Visa Bulletin For April 2017,C,22JUN08,24MAR05,C,22APR09,01JUL05
May,5,2017,Visa Bulletin For May 2017,C,22JUN08,25MAR05,C,01FEB09,22APR06
June,6,2017,Visa Bulletin For June 2017,01JAN12,01JUL08,15MAY05,C,01FEB09,22APR06
July,7,2017,Visa Bulletin For July 2017,01JAN12,22JUL08,15FEB06,C,01FEB09,01OCT06
August,8,2017,Visa Bulletin For August 2017,01JAN12,22JUL08,15JUL06,C,01FEB09,01JAN07
September,9,2017,Visa Bulletin For September 2017,01JAN12,22AUG08,15OCT06,C,01FEB09,01JAN07
October,10,2017,Visa Bulletin For October 2017,C,15SEP08,15OCT06,C,08FEB09,01JAN08
November,11,2017,Visa Bulletin For November 2017,C,08OCT08,15OCT06,C,08FEB09,01JAN08
December,12,2017,Visa Bulletin For December 2017,C,01NOV08,15OCT06,C,08FEB09,01JAN08
January,1,2018,Visa Bulletin For January 2018,C,22NOV08,01NOV06,C,08FEB09,01JAN08
